Date,Sales Channel,Product Name2,Customer ID,Customer Name,State,Discount,Sales,Sales Forecast
10/19/2023,Commercial,Fidelity,MA-17560,Matt Abelman,Taunggyi,20.00%,$50 ,$44 
12/8/2022,Commercial,Fire,GH-14485,Gene Hale,Taunggyi,20.00%,"$2,000 ","$1,644 "
12/8/2022,Commercial,Cash In Transit,GH-14485,Gene Hale,Taunggyi,60.00%,$191 ,$286 
12/27/2021,Commercial,CAR/EAR,SN-20710,Steve Nguyen,Taunggyi,20.00%,$180 ,$170 
12/27/2021,Commercial,Health/CI,SN-20710,Steve Nguyen,Taunggyi,32.00%,$800 ,$797 
12/27/2021,Commercial,Motor,SN-20710,Steve Nguyen,Taunggyi,30.00%,$400 ,$318 
12/27/2021,Commercial,Fire,SN-20710,Steve Nguyen,Taunggyi,20.00%,$600 ,$556 
9/10/2023,Agency,Fire,LC-16930,Linda Cazamias,Bago,20.00%,$500 ,$220 
7/17/2022,Bancassurance,Industrial All Risk,RA-19885,Ruben Ausman,Yangon,0.00%,$100 ,$117 
9/19/2023,Corporate,Industrial All Risk,ES-14080,Erin Smith,Dawei,20.00%,$96 ,$143 
3/11/2022,Travel,PA,ON-18715,Odella Nelson,Malamyine,0.00%,$60 ,$69 
3/11/2022,Travel,Marine,ON-18715,Odella Nelson,Malamyine,0.00%,$17 ,$26 
10/20/2020,Agency,Industrial All Risk,PO-18865,Patrick O'Donnell,Pathein,0.00%,$212 ,$317 
6/20/2022,Bancassurance,PA,LH-16900,Lena Hernandez,Naypyitaw,0.00%,$45 ,$67 
6/20/2022,Bancassurance,Fire,LH-16900,Lena Hernandez,Naypyitaw,0.00%,$22 ,$33 
4/18/2021,Walk-in,Marine,DP-13000,Darren Powers,Loikaw,0.00%,$38 ,$57 
4/18/2021,Walk-in,CAR/EAR,DP-13000,Darren Powers,Loikaw,0.00%,$120 ,$113 
4/18/2021,Walk-in,Cash In Transit,DP-13000,Darren Powers,Loikaw,0.00%,$6 ,$9 
4/18/2021,Walk-in,Motor,DP-13000,Darren Powers,Loikaw,0.00%,$90 ,$135 
12/11/2022,Agency,CAR/EAR,JM-15265,Janet Molinari,Mandalay,0.00%,$15 ,$23 
12/11/2022,Agency,Fire,JM-15265,Janet Molinari,Mandalay,0.00%,"$1,800 ","$1,542 "
6/17/2022,Agency,Industrial All Risk,TB-21055,Ted Butterfield,Mandalay,0.00%,$300 ,$312 
6/17/2022,Agency,Fidelity,TB-21055,Ted Butterfield,Mandalay,0.00%,$32 ,$49 
6/17/2022,Agency,Motor,TB-21055,Ted Butterfield,Mandalay,10.00%,$500 ,$478 
6/17/2022,Agency,Fidelity,TB-21055,Ted Butterfield,Mandalay,0.00%,$15 ,$22 
6/17/2022,Agency,PA,TB-21055,Ted Butterfield,Mandalay,0.00%,$30 ,$45 
6/17/2022,Agency,Marine,TB-21055,Ted Butterfield,Mandalay,20.00%,$48 ,$73 
6/17/2022,Agency,CAR/EAR,TB-21055,Ted Butterfield,Mandalay,0.00%,$2 ,$3 
11/24/2021,Bancassurance,PA,KM-16720,Kunst Miller,Yangon,0.00%,$14 ,$21 
11/24/2021,Bancassurance,Marine,KM-16720,Kunst Miller,Yangon,20.00%,$26 ,$39 
11/24/2021,Bancassurance,Fidelity,KM-16720,Kunst Miller,Yangon,0.00%,$250 ,$220 
11/24/2021,Bancassurance,Cash In Transit,KM-16720,Kunst Miller,Yangon,0.00%,$80 ,$119 
4/30/2021,Agency,Motor,PS-18970,Paul Stevenson,Bago,30.00%,$213 ,$319 
12/5/2020,Travel,CAR/EAR,BS-11590,Brendan Sweed,Hpa-an,20.00%,"$1,900 ","$1,667 "
12/5/2020,Travel,Fire,BS-11590,Brendan Sweed,Hpa-an,20.00%,$300 ,$252 
6/4/2022,Agency,Fidelity,KD-16270,Karen Daniels,Bago,0.00%,$76 ,$114 
9/18/2022,Agency,Marine,HM-14980,Henry MacAllister,Mandalay,20.00%,$5 ,$7 
9/14/2023,Agency,Fidelity,TB-21520,Tracy Blumstein,Pathein,0.00%,$19 ,$29 
4/26/2021,Travel,Motor,JE-15745,Joel Eaton,Malamyine,20.00%,"$1,500 ","$1,246 "
4/26/2021,Travel,Cash In Transit,JE-15745,Joel Eaton,Malamyine,20.00%,$97 ,$145 
4/26/2021,Travel,Industrial All Risk,JE-15745,Joel Eaton,Malamyine,20.00%,$73 ,$109 
12/9/2023,Commercial,Marine,KB-16600,Ken Brennan,Taunggyi,80.00%,$1 ,$2 
12/9/2023,Commercial,Cash In Transit,KB-16600,Ken Brennan,Taunggyi,60.00%,$10 ,$15 
12/9/2023,Commercial,Industrial All Risk,KB-16600,Ken Brennan,Taunggyi,20.00%,$27 ,$41 
11/26/2020,Commercial,Cash In Transit,JE-15745,Joel Eaton,Taunggyi,60.00%,$19 ,$29 
6/12/2022,Bancassurance,Cash In Safe,SC-20770,Stewart Carmichael,Sittwe,0.00%,$300 ,$312 
6/12/2022,Bancassurance,Marine,SC-20770,Stewart Carmichael,Sittwe,0.00%,$17 ,$25 
10/12/2020,Bancassurance,CAR/EAR,DN-13690,Duane Noonan,Yangon,0.00%,$15 ,$22 
10/12/2020,Bancassurance,Industrial All Risk,DN-13690,Duane Noonan,Yangon,0.00%,$21 ,$32 
9/3/2021,Walk-in,CAR/EAR,JC-16105,Julie Creighton,Myitkyina,20.00%,$400 ,$301 
11/13/2023,Agency,Industrial All Risk,CS-12400,Christopher Schild,Bago,20.00%,$300 ,$345 
5/28/2023,Bancassurance,Motor,PO-18865,Patrick O'Donnell,Sittwe,0.00%,$500 ,$452 
10/26/2023,Travel,PA,PG-18895,Paul Gonzalez,Malamyine,0.00%,$20 ,$30 
10/26/2023,Travel,CAR/EAR,PG-18895,Paul Gonzalez,Malamyine,0.00%,$6 ,$9 
4/5/2022,Commercial,Industrial All Risk,GM-14455,Gary Mitchum,Taunggyi,20.00%,$300 ,$237 
9/17/2022,Bancassurance,CAR/EAR,JS-15685,Jim Sink,Yangon,0.00%,$20 ,$30 
9/17/2022,Bancassurance,Fire,JS-15685,Jim Sink,Yangon,20.00%,$100 ,$110 
9/17/2022,Bancassurance,Fidelity,JS-15685,Jim Sink,Yangon,0.00%,$6 ,$10 
1/31/2021,Travel,Fidelity,KB-16315,Karl Braun,Malamyine,0.00%,$13 ,$19 
1/31/2021,Travel,Cash In Transit,KB-16315,Karl Braun,Malamyine,0.00%,$90 ,$80 
1/31/2021,Travel,Marine,KB-16315,Karl Braun,Malamyine,0.00%,$50 ,$49 
11/6/2023,Walk-in,Marine,RB-19705,Roger Barcio,Sittwe,70.00%,$6 ,$9 
11/9/2023,Agency,Cash In Transit,PN-18775,Parhena Norris,Mandalay,0.00%,$140 ,$145 
6/17/2023,Bancassurance,Marine,KD-16345,Katherine Ducich,Yangon,20.00%,$80 ,$77 
9/6/2022,Travel,Cash In Safe,ER-13855,Elpida Rittenbach,Malamyine,0.00%,$78 ,$117 
8/29/2022,Agency,Fidelity,RB-19465,Rick Bensley,Bago,20.00%,$100 ,$97 
8/29/2022,Agency,PA,RB-19465,Rick Bensley,Bago,20.00%,$150 ,$144 
8/29/2022,Agency,Marine,RB-19465,Rick Bensley,Bago,80.00%,$2 ,$3 
12/1/2022,Travel,Fidelity,GZ-14470,Gary Zandusky,Malamyine,0.00%,$24 ,$36 
11/13/2021,Travel,PA,LC-16870,Lena Cacioppo,Magwe,20.00%,$400 ,$358 
11/13/2021,Travel,Cash In Transit,LC-16870,Lena Cacioppo,Magwe,20.00%,$200 ,$153 
11/13/2021,Travel,Marine,LC-16870,Lena Cacioppo,Magwe,70.00%,$37 ,$55 
11/23/2023,Walk-in,PA,JM-15250,Janet Martin,Myitkyina,20.00%,$100 ,$111 
11/23/2023,Walk-in,Fire,JM-15250,Janet Martin,Myitkyina,20.00%,$28 ,$42 
11/23/2023,Walk-in,CAR/EAR,JM-15250,Janet Martin,Myitkyina,20.00%,$3 ,$5 
10/15/2021,Agency,PA,PA-19060,Pete Armstrong,Bago,20.00%,$340 ,$509 
12/25/2023,Agency,Cash In Transit,CV-12805,Cynthia Voltz,Mandalay,0.00%,$42 ,$63 
11/3/2022,Bancassurance,CAR/EAR,CL-12565,Clay Ludtke,Sittwe,0.00%,$76 ,$114 
11/3/2022,Bancassurance,Marine,CL-12565,Clay Ludtke,Sittwe,0.00%,$27 ,$41 
8/25/2020,Agency,CAR/EAR,RC-19960,Ryan Crowe,Pathein,20.00%,$40 ,$60 
8/25/2020,Agency,CAR/EAR,RC-19960,Ryan Crowe,Pathein,20.00%,$5 ,$7 
8/25/2020,Agency,Fidelity,RC-19960,Ryan Crowe,Pathein,20.00%,$24 ,$36 
8/25/2020,Agency,CAR/EAR,RC-19960,Ryan Crowe,Pathein,20.00%,$200 ,$195 
3/2/2021,Commercial,Travel,DK-13090,Dave Kipp,Monywa,0.00%,$788 ,"$1,179 "
4/5/2021,Travel,Marine,GG-14650,Greg Guthrie,Malamyine,70.00%,$300 ,$236 
6/12/2022,Bancassurance,Cash In Transit,SC-20725,Steven Cartwright,Naypyitaw,0.00%,$47 ,$70 
6/12/2022,Bancassurance,Marine,SC-20725,Steven Cartwright,Naypyitaw,0.00%,$31 ,$46 
6/12/2022,Bancassurance,Industrial All Risk,SC-20725,Steven Cartwright,Naypyitaw,0.00%,$400 ,$339 
6/12/2022,Bancassurance,CAR/EAR,SC-20725,Steven Cartwright,Naypyitaw,0.00%,$115 ,$172 
6/12/2022,Bancassurance,Fire,SC-20725,Steven Cartwright,Naypyitaw,0.00%,$68 ,$102 
12/26/2020,Commercial,Motor,AD-10180,Alan Dominguez,Taunggyi,30.00%,"$1,000 ",$899 
9/20/2020,Agency,Travel,PF-19165,Philip Fox,Bago,50.00%,"$1,000 ",$925 
11/5/2023,Travel,Marine,TS-21610,Troy Staebel,Hpa-an,70.00%,$2 ,$4 
11/5/2023,Travel,Industrial All Risk,TS-21610,Troy Staebel,Hpa-an,20.00%,$300 ,$365 
11/6/2022,Bancassurance,Motor,LS-16975,Lindsay Shagiari,Yangon,20.00%,$81 ,$122 
11/6/2022,Bancassurance,Cash In Transit,LS-16975,Lindsay Shagiari,Yangon,0.00%,$500 ,$357 
2/2/2023,Agency,Fire,DW-13585,Dorothy Wardle,Pathein,40.00%,$100 ,$90 
2/2/2023,Agency,Fidelity,DW-13585,Dorothy Wardle,Pathein,20.00%,$150 ,$117 
2/2/2023,Agency,CAR/EAR,DW-13585,Dorothy Wardle,Pathein,20.00%,$21 ,$32 
10/13/2022,Bancassurance,Fidelity,LC-16885,Lena Creighton,Yangon,0.00%,$20 ,$30 
10/13/2022,Bancassurance,Fidelity,LC-16885,Lena Creighton,Yangon,0.00%,$35 ,$53 
10/13/2022,Bancassurance,CAR/EAR,LC-16885,Lena Creighton,Yangon,0.00%,$12 ,$17 
10/13/2022,Bancassurance,CAR/EAR,LC-16885,Lena Creighton,Yangon,0.00%,$4 ,$6 
10/13/2022,Bancassurance,Marine,LC-16885,Lena Creighton,Yangon,20.00%,$76 ,$114 
10/13/2022,Bancassurance,Bailee's Liability,LC-16885,Lena Creighton,Yangon,0.00%,$66 ,$99 
10/13/2022,Bancassurance,Cash In Transit,LC-16885,Lena Creighton,Yangon,0.00%,$43 ,$65 
9/5/2022,Corporate,Cash In Transit,JD-15895,Jonathan Doherty,Dawei,20.00%,$83 ,$124 
9/18/2023,Bancassurance,CAR/EAR,SH-19975,Sally Hughsby,Yangon,0.00%,$9 ,$13 
9/18/2023,Bancassurance,CAR/EAR,SH-19975,Sally Hughsby,Yangon,0.00%,$11 ,$16 
9/18/2023,Bancassurance,Fidelity,SH-19975,Sally Hughsby,Yangon,0.00%,$500 ,$215 
12/22/2023,Corporate,Cash In Safe,SG-20080,Sandra Glassco,Sittwe,0.00%,"$1,500 ","$1,257 "
9/7/2021,Bancassurance,Industrial All Risk,HA-14920,Helen Andreada,Yangon,0.00%,"$1,100 ","$1,006 "
10/22/2020,Agency,Cash In Transit,MG-17680,Maureen Gastineau,Pathein,20.00%,$94 ,$141 
12/5/2022,Travel,Fire,JE-16165,Justin Ellison,Magwe,0.00%,$384 ,$576 
12/5/2022,Travel,Fire,JE-16165,Justin Ellison,Magwe,0.00%,$150 ,$225 
12/5/2022,Travel,Motor,JE-16165,Justin Ellison,Magwe,0.00%,"$3,000 ","$2,923 "
12/5/2022,Travel,Marine,JE-16165,Justin Ellison,Magwe,0.00%,$172 ,$257 
3/13/2022,Travel,Cash In Safe,TW-21025,Tamara Willingham,Hpa-an,20.00%,$200 ,$237 
3/13/2022,Travel,Fire,TW-21025,Tamara Willingham,Hpa-an,20.00%,$203 ,$304 
5/31/2021,Bancassurance,Fidelity,SP-20650,Stephanie Phelps,Yangon,0.00%,$100 ,$87 
5/31/2021,Bancassurance,Fidelity,SP-20650,Stephanie Phelps,Yangon,0.00%,$160 ,$158 
5/31/2021,Bancassurance,Industrial All Risk,SP-20650,Stephanie Phelps,Yangon,0.00%,$130 ,$121 
5/28/2021,Commercial,CAR/EAR,NK-18490,Neil Knudson,Monywa,0.00%,$7 ,$10 
3/1/2024,Commercial,Motor,DB-13060,Dave Brooks,Monywa,20.00%,$700 ,$685 
11/20/2022,Walk-in,CAR/EAR,NP-18670,Nora Paige,Sittwe,0.00%,$15 ,$22 
11/20/2022,Walk-in,Fire,NP-18670,Nora Paige,Sittwe,0.00%,"$2,000 ","$1,415 "
5/11/2022,Bancassurance,Fidelity,TT-21070,Ted Trevino,Yangon,0.00%,$6 ,$9 
12/28/2021,Corporate,PA,EM-13960,Eric Murdock,Dawei,20.00%,$54 ,$81 
11/16/2022,Corporate,CAR/EAR,RD-19900,Ruben Dartt,Sittwe,0.00%,$28 ,$43 
11/7/2022,Commercial,Marine,MJ-17740,Max Jones,Monywa,20.00%,$28 ,$41 
9/8/2020,Commercial,CAR/EAR,BM-11140,Becky Martin,Taunggyi,20.00%,$10 ,$15 
9/8/2020,Commercial,Contractor's All Risk,BM-11140,Becky Martin,Taunggyi,40.00%,"$13,000 ","$12,220 "
9/8/2020,Commercial,Industrial All Risk,BM-11140,Becky Martin,Taunggyi,20.00%,$500 ,$413 
9/8/2020,Commercial,Motor,BM-11140,Becky Martin,Taunggyi,30.00%,"$2,800 ","$2,606 "
9/8/2020,Commercial,CAR/EAR,BM-11140,Becky Martin,Taunggyi,20.00%,$32 ,$48 
9/8/2020,Commercial,Cash In Safe,BM-11140,Becky Martin,Taunggyi,80.00%,$178 ,$267 
9/8/2020,Commercial,Fire,BM-11140,Becky Martin,Taunggyi,20.00%,$144 ,$216 
8/5/2020,Bancassurance,Fidelity,CS-12130,Chad Sievert,Yangon,0.00%,$21 ,$31 
8/5/2020,Bancassurance,Fidelity,CS-12130,Chad Sievert,Yangon,0.00%,$111 ,$166 
8/5/2020,Bancassurance,Motor,CS-12130,Chad Sievert,Yangon,20.00%,$550 ,$509 
9/14/2020,Agency,Cash In Safe,JB-15400,Jennifer Braxton,Bago,80.00%,$52 ,$79 
9/14/2020,Agency,CAR/EAR,JB-15400,Jennifer Braxton,Bago,20.00%,$20 ,$30 
4/21/2023,Commercial,Cash In Safe,SJ-20500,Shirley Jackson,Taunggyi,80.00%,$200 ,$146 
11/21/2021,Agency,Motor,JE-15745,Joel Eaton,Pathein,30.00%,$600 ,$594 
11/21/2021,Agency,Bailee's Liability,JE-15745,Joel Eaton,Pathein,20.00%,$16 ,$24 
12/15/2021,Agency,CAR/EAR,JK-15640,Jim Kriz,Mandalay,0.00%,$3 ,$5 
12/5/2020,Agency,Industrial All Risk,DK-13150,David Kendrick,Bago,20.00%,$25 ,$37 
12/5/2020,Agency,PA,DK-13150,David Kendrick,Bago,20.00%,$700 ,$612 
11/19/2020,Bancassurance,Fire,RM-19675,Robert Marley,Sittwe,0.00%,$504 ,$755 
11/19/2020,Bancassurance,Fire,RM-19675,Robert Marley,Sittwe,0.00%,$150 ,$225 
11/19/2020,Bancassurance,PA,RM-19675,Robert Marley,Sittwe,0.00%,$29 ,$43 
11/28/2022,Bancassurance,Marine,SK-19990,Sally Knutson,Sittwe,0.00%,$7 ,$11 
8/26/2020,Bancassurance,PA,FM-14290,Frank Merwin,Yangon,0.00%,$300 ,$265 
7/16/2022,Commercial,Industrial All Risk,AM-10360,Alice McCarthy,Taunggyi,20.00%,$37 ,$56 
7/16/2022,Commercial,Fidelity,AM-10360,Alice McCarthy,Taunggyi,20.00%,$20 ,$30 
10/12/2021,Agency,Health/CI,MP-17470,Mark Packer,Mandalay,20.00%,$899 ,"$1,347 "
10/12/2021,Agency,Fire,MP-17470,Mark Packer,Mandalay,0.00%,$72 ,$107 
10/12/2021,Agency,Fidelity,MP-17470,Mark Packer,Mandalay,0.00%,$52 ,$78 
10/12/2021,Agency,Health/CI,MP-17470,Mark Packer,Mandalay,20.00%,$626 ,$938 
10/12/2021,Agency,CAR/EAR,MP-17470,Mark Packer,Mandalay,0.00%,$20 ,$30 
10/31/2021,Bancassurance,CAR/EAR,MZ-17515,Mary Zewe,Yangon,0.00%,$14 ,$21 
3/21/2024,Agency,CAR/EAR,CB-12025,Cassandra Brandow,Pathein,20.00%,$7 ,$11 
3/21/2024,Agency,CAR/EAR,CB-12025,Cassandra Brandow,Pathein,20.00%,$6 ,$9 
11/6/2023,Travel,Industrial All Risk,VM-21685,Valerie Mitchum,Loikaw,0.00%,$60 ,$69 
7/6/2023,Corporate,Marine,FH-14365,Fred Hopkins,Dawei,70.00%,$3 ,$4 
7/6/2023,Corporate,Fidelity,FH-14365,Fred Hopkins,Dawei,20.00%,$16 ,$24 
6/24/2023,Agency,Fidelity,MB-17305,Maria Bertelson,Pathein,20.00%,$22 ,$33 
8/3/2020,Travel,Travel,BS-11755,Bruce Stewart,Magwe,50.00%,$400 ,$328 
8/3/2020,Travel,Cash In Safe,BS-11755,Bruce Stewart,Magwe,20.00%,$3 ,$4 
12/17/2023,Commercial,Cash In Safe,LC-17140,Logan Currie,Taunggyi,80.00%,$66 ,$99 
6/3/2023,Travel,Cash In Transit,HK-14890,Heather Kirkland,Malamyine,20.00%,$35 ,$53 
12/9/2023,Bancassurance,Fire,LE-16810,Laurel Elliston,Yangon,20.00%,$600 ,$666 
12/1/2023,Agency,Industrial All Risk,JH-15985,Joseph Holt,Pathein,0.00%,$130 ,$126 
12/1/2023,Agency,Fire,JH-15985,Joseph Holt,Pathein,0.00%,$190 ,$198 
12/1/2023,Agency,Marine,JH-15985,Joseph Holt,Pathein,0.00%,$16 ,$24 
12/1/2023,Agency,CAR/EAR,JH-15985,Joseph Holt,Pathein,0.00%,$52 ,$78 
12/1/2023,Agency,Industrial All Risk,JH-15985,Joseph Holt,Pathein,0.00%,$92 ,$138 
2/9/2021,Commercial,PA,MS-17980,Michael Stewart,Taunggyi,20.00%,$21 ,$31 
1/2/2021,Agency,CAR/EAR,VW-21775,Victoria Wilson,Pathein,20.00%,$24 ,$35 
1/2/2021,Agency,Health/CI,VW-21775,Victoria Wilson,Pathein,50.00%,$700 ,$678 
1/2/2021,Agency,Fire,VW-21775,Victoria Wilson,Pathein,40.00%,$63 ,$94 
1/2/2021,Agency,Contractor's All Risk,VW-21775,Victoria Wilson,Pathein,70.00%,"$2,000 ","$1,779 "
1/2/2021,Agency,PA,VW-21775,Victoria Wilson,Pathein,20.00%,$150 ,$134 
10/28/2022,Bancassurance,Industrial All Risk,JH-15910,Jonathan Howell,Yangon,0.00%,$93 ,$139 
10/28/2022,Bancassurance,Fire,JH-15910,Jonathan Howell,Yangon,20.00%,$302 ,$453 
12/24/2021,Agency,CAR/EAR,JB-15925,Joni Blumstein,Pathein,20.00%,$6 ,$8 
12/24/2021,Agency,Fidelity,JB-15925,Joni Blumstein,Pathein,20.00%,$23 ,$34 
12/24/2021,Agency,Marine,JB-15925,Joni Blumstein,Pathein,70.00%,$20 ,$30 
12/24/2021,Agency,Cash In Transit,JB-15925,Joni Blumstein,Pathein,20.00%,$73 ,$109 
12/24/2021,Agency,Contractor's All Risk,JB-15925,Joni Blumstein,Pathein,70.00%,$800 ,$719 
12/24/2021,Agency,CAR/EAR,JB-15925,Joni Blumstein,Pathein,20.00%,$27 ,$41 
8/9/2021,Agency,CAR/EAR,DS-13180,David Smith,Pathein,0.00%,$2 ,$3 
8/9/2021,Agency,Travel,DS-13180,David Smith,Pathein,0.00%,$622 ,$932 
8/9/2021,Agency,Industrial All Risk,DS-13180,David Smith,Pathein,0.00%,$22 ,$33 
2/28/2021,Travel,Motor,VD-21670,Valerie Dominguez,Malamyine,20.00%,$162 ,$242 
2/28/2021,Travel,Motor,VD-21670,Valerie Dominguez,Malamyine,20.00%,$390 ,$584 
9/13/2020,Walk-in,Marine,EA-14035,Erin Ashbrook,Myitkyina,70.00%,$19 ,$28 
4/7/2023,Corporate,Travel,CS-12400,Christopher Schild,Dawei,45.00%,$400 ,$350 
4/7/2023,Corporate,Travel,CS-12400,Christopher Schild,Dawei,45.00%,"$1,000 ",$929 
4/7/2023,Corporate,Marine,CS-12400,Christopher Schild,Dawei,70.00%,$5 ,$8 
4/7/2023,Corporate,Cash In Transit,CS-12400,Christopher Schild,Dawei,20.00%,$500 ,$386 
4/7/2023,Corporate,PA,CS-12400,Christopher Schild,Dawei,20.00%,"$1,000 ",$925 
11/12/2023,Bancassurance,Fidelity,DB-13120,David Bremer,Yangon,0.00%,$11 ,$16 
6/4/2022,Agency,Fidelity,KL-16645,Ken Lonsdale,Bago,20.00%,$26 ,$39 
6/4/2022,Agency,Cash In Transit,KL-16645,Ken Lonsdale,Bago,60.00%,$420 ,$629 
6/4/2022,Agency,Cash In Transit,KL-16645,Ken Lonsdale,Bago,60.00%,$12 ,$18 
6/4/2022,Agency,Fire,KL-16645,Ken Lonsdale,Bago,20.00%,$32 ,$48 
6/4/2022,Agency,Travel,KL-16645,Ken Lonsdale,Bago,50.00%,$400 ,$265 
6/4/2022,Agency,Cash In Transit,KL-16645,Ken Lonsdale,Bago,60.00%,$4 ,$6 
6/4/2022,Agency,CAR/EAR,KL-16645,Ken Lonsdale,Bago,20.00%,$7 ,$11 
6/1/2020,Travel,Motor,DW-13480,Dianna Wilson,Malamyine,0.00%,"$3,200 ","$2,998 "
6/1/2020,Travel,Industrial All Risk,DW-13480,Dianna Wilson,Malamyine,0.00%,$167 ,$250 
6/1/2020,Travel,Fidelity,DW-13480,Dianna Wilson,Malamyine,0.00%,$48 ,$72 
6/1/2020,Travel,Cash In Safe,DW-13480,Dianna Wilson,Malamyine,0.00%,"$2,300 ","$2,251 "
6/1/2020,Travel,Fidelity,DW-13480,Dianna Wilson,Malamyine,0.00%,$26 ,$39 
12/10/2022,Bancassurance,Motor,LH-17155,Logan Haushalter,Yangon,20.00%,$322 ,$482 
9/11/2022,Bancassurance,Fidelity,KC-16540,Kelly Collister,Yangon,0.00%,$8 ,$11 
9/11/2022,Bancassurance,PA,KC-16540,Kelly Collister,Yangon,0.00%,"$5,200 ","$5,013 "
12/10/2022,Agency,Industrial All Risk,DL-13315,Delfina Latchford,Mandalay,0.00%,$81 ,$121 
12/10/2022,Agency,CAR/EAR,DL-13315,Delfina Latchford,Mandalay,0.00%,$600 ,$542 
11/28/2021,Agency,Cash In Transit,DR-12880,Dan Reichenbach,Bago,60.00%,$12 ,$18 
11/28/2021,Agency,Industrial All Risk,DR-12880,Dan Reichenbach,Bago,20.00%,$82 ,$123 
11/28/2021,Agency,Industrial All Risk,DR-12880,Dan Reichenbach,Bago,20.00%,$54 ,$81 
11/28/2021,Agency,Fire,DR-12880,Dan Reichenbach,Bago,20.00%,"$1,000 ",$970 
12/1/2023,Agency,PA,CC-12670,Craig Carreira,Mandalay,0.00%,$20 ,$31 
12/1/2023,Agency,Industrial All Risk,CC-12670,Craig Carreira,Mandalay,0.00%,$300 ,$332 
12/1/2023,Agency,Marine,CC-12670,Craig Carreira,Mandalay,20.00%,$40 ,$26 
6/8/2023,Commercial,Cash In Safe,Dl-13600,Dorris liebe,Taunggyi,80.00%,$2 ,$2 
